,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GOALS FOR BLOCK ONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. Maximize strength in big compound lifts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2. Drive hypertrophy through high RoM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3. Build work capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WEEK 1,,,,,,,WEEK 2,,,,,,WEEK 3,,,,,,WEEK 4,,,,,,WEEK 5,,,,,,WEEK 6,,,,
,Day 1 - Squat focused lower body,Sets,Reps,Load,RPE,Notes,,Day 1 - Squat focused lower body,Sets,Reps,Load,Notes,,Day 1 - Squat focused lower body,Sets,Reps,Load,Notes,,Day 1 - Squat focused lower body,Sets,Reps,Load,Notes,,Day 1 - Squat focused lower body,Sets,Reps,Load,Notes,,Day 1 - Squat focused lower body,Sets,Reps,Load,Notes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Step ups,4,10/side,,9,High box,,Step ups,3,6,2.5,Holding a pair of DB's,,Step ups,3,6,5,Holding a pair of DB's,,Step ups,3,6,7.5,Holding a pair of DB's,,Step ups,3,6,10,Holding a pair of DB's,,Step ups,2,6,7,Holding a pair of DB's
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Good morning,4,10,,8,,,Good morning,3,8,0,,,Good morning,3,8,0,,,Good morning,3,8,0,,,Good morning,3,8,0,,,Good morning,2,8,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weighted side plank,3,1:00/side,,10,Stack weight on hips,,Weighted side plank,3,1:00,2.5,,,Weighted side plank,3,1:00,5,,,Weighted side plank,3,1:00,7.5,,,Weighted side plank,3,1:00,10,,,Weighted side plank,2,1:00,7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Day 4 - Pulling,Sets,Reps,Load,RPE,Notes,,Day 4 - Pulling,Sets,Reps,Load,Notes,,Day 4 - Pulling,Sets,Reps,Load,Notes,,Day 4 - Pulling,Sets,Reps,Load,Notes,,Day 4 - Pulling,Sets,Reps,Load,Notes,,Day 4 - Pulling,Sets,Reps,Load,Notes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weighted pull ups,5,8,,8,,,Weighted pull ups,5,3,2.5,,,Weighted pull ups,5,3,5,,,Weighted pull ups,5,3,7.5,,,Weighted pull ups,5,3,10,,,Weighted pull ups,3,3,7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Incline bench press,4,8,,8,,,Incline bench press,4,5,0,,,Incline bench press,4,5,0,,,Incline bench press,4,5,0,,,Incline bench press,4,5,0,,,Incline bench press,3,5,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pendlay row,4,8,,9,,,Pendlay row,4,6,0,,,Pendlay row,4,6,0,,,Pendlay row,4,6,0,,,Pendlay row,4,6,0,,,Pendlay row,3,6,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arnold DB press,4,10,,9,,,Arnold DB press,4,3,0,,,Arnold DB press,4,3,0,,,Arnold DB press,4,3,0,,,Arnold DB press,4,3,0,,,Arnold DB press,3,3,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Incline cable lateral raise,3,12,,9,"Incline a bench, facing the cable machine",,Incline cable lateral raise,3,8,2.5,,,Incline cable lateral raise,3,8,5,,,Incline cable lateral raise,3,8,7.5,,,Incline cable lateral raise,3,8,10,,,Incline cable lateral raise,3,8,7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"WARM UP - Any warm up is appropriate, unless you have an unique individual circumstance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"REST DAYS - In a perfect world, have a rest day after day 2 and 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"REST TIMES - Rest times for all exercises are a 3 minute minimum. For strength, it doesnt matter how much longer this goes, so long as you stay warm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"UNSURE OF AN EXERCISE - All exercises can be googled as they are written. Don't get caught up in minutia, there are more right ways to do an exercise than wrong ways to do an exercise",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SUPERSETS - When 2 exercises are listed without a space between them, this is a superset",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NOMENCLATURE - SA = single arm, DB = dumbbell, BB = barbell, SL = single leg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RECORDING LOADS - Input loads into week one load column and progressions will appear for the following weeks. You can record loads over the top of these as you do them,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ROUNDING - Loads are prescibed using a mathematical equation so use discretion to round up, or down. You have the freedom to choose a number slightly higher or slightly lower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"RPE - is for your FINAL SET. You will fatigue, so allow for this",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
